id_pleito,tipo_interessado,interessado,cod_ibge,uf,num_pvl,status,num_processo,data_protocolo,tipo_operacao,finalidade,tipo_credor,credor,moeda,valor,pvl_assoc_divida,pvl_contradado_credor,data_status
6986,Município,Itatim,2916856,BA,,Regularizado,17944.000473/2008-15,2008-03-12T00:00:00Z,Operação contratual interna,Regularização de Dívida - Água e Esgoto,Empresa Estatal,Empresa Baiana de Águas e Saneamento S/A,Real,10289.52,1,0,27/03/2008
6474,Município,Vitória da Conquista,2933307,BA,,Arquivado por decurso de prazo,17944.000360/2009-09,2009-03-31T00:00:00Z,Operação contratual interna,Provias,Instituição Financeira Nacional,Banco do Brasil S/A,Real,900000.0,0,0,14/04/2009
7687,Município,Sebastião Laranjeiras,2930006,BA,,Arquivado a pedido,17944.000634/2012-57,2015-09-11T00:00:00Z,Operação contratual interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,2000000.0,0,0,25/09/2015
7713,Município,Nordestina,2922656,BA,,Deferido,17944.000639/2011-07,2011-07-25T00:00:00Z,Operação contratual interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,400000.0,0,0,24/08/2011
7069,Município,Mucugê,2921906,BA,,Deferido,17944.000490/2010-77,2010-04-28T00:00:00Z,Operação contratual interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,65000.0,0,0,20/05/2010
7371,Município,Vitória da Conquista,2933307,BA,,Arquivado por decurso de prazo,17944.000556/2011-18,2011-10-04T00:00:00Z,Operação contratual interna,Provias 2010,Instituição Financeira Nacional,Banco do Brasil S/A,Real,3000000.0,0,0,16/01/2013
7383,Município,Utinga,2932804,BA,,Arquivado,17944.000560/2008-72,2008-05-28T00:00:00Z,Operação contratual interna,Caminho da Escola 2,Instituição Financeira Nacional,Banco do Brasil S/A,Real,518100.0,0,0,11/04/2008
7392,Município,Caculé,2905008,BA,,Deferido,17944.000562/2008-61,2008-03-28T00:00:00Z,Operação contratual interna,Caminho da Escola 2,Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,550000.0,0,0,15/04/2008
64646,Estado,Bahia,29,BA,PVL02.000882/2023-98,Encaminhado à PGFN com manifestação técnica favorável,17944.102176/2023-42,2024-08-21T18:04:44Z,Operação contratual externa (com garantia da União),Infraestrutura,Instituição Financeira Internacional,Corporação Andina de Fomento,Dólar dos EUA,150000000.0,0,0,03/09/2024
67999,Município,Ipiaú,2913903,BA,PVL02.000005/2024-06,Encaminhado à PGFN com manifestação técnica favorável,17944.000669/2024-20,2024-04-18T17:50:46Z,Operação contratual interna (com garantia da União),Infraestrutura,Instituição Financeira Nacional,Banco do Brasil S/A,Real,20000000.0,0,1,30/04/2024
67339,Município,São Francisco do Conde,2929206,BA,PVL02.003844/2023-97,Encaminhado à PGFN com manifestação técnica favorável,17944.105646/2023-20,2024-08-16T15:57:30Z,Operação contratual interna (com garantia da União),Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,100000000.0,0,1,02/09/2024
65927,Município,Vitória da Conquista,2933307,BA,PVL02.002724/2023-72,Deferido,17944.103554/2023-13,2023-08-31T11:39:02Z,Operação contratual interna,Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,160000000.0,0,1,05/09/2023
68954,Município,Caetanos,2905156,BA,PVL02.001216/2024-58,Deferido (PVL-IF),,,Operação contratual interna,Infraestrutura,Instituição Financeira Nacional,Banco do Brasil S/A,Real,1700000.0,0,1,28/06/2024
67196,Município,Ponto Novo,2925253,BA,PVL02.004107/2023-10,Deferido (PVL-IF),,,Operação contratual interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,7000000.0,0,1,21/11/2023
5335,Município,Wanderley,2933455,BA,,Arquivado por decurso de prazo,17944.000089/2014-61,2013-12-19T00:00:00Z,Operação contratual interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,750000.0,0,0,03/10/2014
5348,Município,Senhor do Bonfim,2930105,BA,,Regularizado,17944.000092/2007-55,2021-12-17T00:00:00Z,Operação contratual interna,Regularização de Dívida - Água e Esgoto,Empresa Estatal,Empresa Baiana de Águas e Saneamento S/A,Real,150897.62,0,0,16/02/2022
5823,Município,Barra do Choça,2902906,BA,,Arquivado por decurso de prazo,17944.000207/2008-92,2008-04-08T00:00:00Z,Operação contratual interna,Caminho da Escola,Instituição Financeira Nacional,Banco do Brasil S/A,Real,600000.0,0,0,06/05/2008
6771,Município,Baianópolis,2902500,BA,,Deferido,17944.000426/2008-71,2008-02-29T00:00:00Z,Operação contratual interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,500000.0,0,0,12/03/2008
6884,Município,Camaçari,2905701,BA,,Arquivado,17944.000453/2007-63,2007-04-02T00:00:00Z,Operação contratual interna,Saneamento para Todos,Instituição Financeira Nacional,Caixa Econômica Federal,Real,18792900.0,0,0,15/08/2007
8053,Município,Iguaí,2913507,BA,,Deferido,17944.000703/2013-11,2013-11-01T00:00:00Z,Operação contratual interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,1300000.0,0,0,17/12/2013
5693,Município,Mansidão,2920452,BA,,Deferido,17944.000174/2008-81,2008-04-08T00:00:00Z,Operação contratual interna,Caminho da Escola,Instituição Financeira Nacional,Banco do Brasil S/A,Real,749160.0,0,0,28/04/2008
10386,Município,Nilo Peçanha,2922607,BA,,Pendente de regularização,17944.001186/2012-17,2013-08-06T00:00:00Z,Operação contratual interna,Regularização de Dívida - Água e Esgoto,Empresa Estatal,Empresa Baiana de Águas e Saneamento S/A,Real,51649.0,0,0,10/06/2014
10389,Município,Piraí do Norte,2924678,BA,,Regularizado,17944.001187/2012-53,2012-08-22T00:00:00Z,Operação contratual interna,Regularização de Dívida - Água e Esgoto,Empresa Estatal,Empresa Baiana de Águas e Saneamento S/A,Real,12421.31,1,0,10/07/2013
7483,Município,Anguera,2901502,BA,,Deferido,17944.000590/2010-01,2011-04-04T00:00:00Z,Operação contratual interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,65000.0,0,0,19/04/2011
6102,Município,Mucuri,2922003,BA,,Deferido,17944.000277/2013-16,2013-08-30T00:00:00Z,Operação contratual interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,3330000.0,1,0,14/10/2013
7806,Município,Baianópolis,2902500,BA,,Deferido,17944.000658/2012-14,2012-05-03T00:00:00Z,Operação contratual interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,900000.0,0,0,29/05/2012
7584,Município,Capela do Alto Alegre,2906857,BA,,Deferido,17944.000613/2012-31,2012-04-23T00:00:00Z,Operação contratual interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,150000.0,0,0,25/05/2012
9402,Município,Nilo Peçanha,2922607,BA,,Pendente de regularização,17944.000973/2012-33,2013-08-06T00:00:00Z,Operação contratual interna,Regularização de Dívida - Água e Esgoto,Empresa Estatal,Empresa Baiana de Águas e Saneamento S/A,Real,245894.72,0,0,09/06/2014
9022,Município,Feira de Santana,2910800,BA,,Encaminhado à PGFN com manifestação técnica favorável,17944.000886/2007-19,2007-07-19T00:00:00Z,Operação contratual externa (com garantia da União),Infraestrutura,Instituição Financeira Internacional,Corporação Andina de Fomento,Dólar dos EUA,11737000.0,1,0,20/12/2007
10227,Município,Mucugê,2921906,BA,,Arquivado por decurso de prazo,17944.001149/2010-39,2010-07-28T00:00:00Z,Operação contratual interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,750000.0,0,0,24/01/2011
9837,Município,Catu,2907509,BA,,Arquivado,17944.001063/2008-91,2008-06-23T00:00:00Z,Operação contratual interna,Caminho da Escola 2,Instituição Financeira Nacional,Banco do Brasil S/A,Real,817550.0,0,0,02/10/2008
8858,Estado,Bahia,29,BA,,Encaminhado à PGFN com manifestação técnica favorável,17944.000853/2014-06,2014-07-10T00:00:00Z,Operação contratual externa (com garantia da União),Infraestrutura,Instituição Financeira Internacional,Banco Internacional para Reconstrução e Desenvolvimento,Dólar dos EUA,400000000.0,1,0,16/07/2014
12266,Município,Ipirá,2914000,BA,,Deferido,17944.001644/2009-12,2010-03-29T00:00:00Z,Operação contratual interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,1000000.0,0,0,03/04/2010
